name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 48752,149.16726051,-89.78245385,-14.75,10.54,4.17,A0IV,STAR A0IV,239.81
HIP 71348,218.87831588,-89.771696,-8.85,-8.78,2.08,M4III,STAR M4III,480.77
HIP 42708,130.51854607,-89.4605018,16.38,-13.3,2.39,M1III,STAR M1III,418.41
HIP 78866,241.48101072,-89.30844881,-23.75,-40.83,11.95,F2/F3V,STAR F2V,83.68
HIP 22645,73.08412819,-89.27396066,22.02,21.43,4.42,A3m...,STAR A3,226.24
HIP 54065,165.95273774,-89.23917414,-62.91,11.01,9.18,F0IV/V,STAR F0IV,108.93
HIP 3560,11.37459799,-89.16899196,61.88,-7.64,7.74,G2V:,STAR G2V,129.20
HIP 90987,278.38554942,-89.13745594,-8.55,-32.32,2.96,K0III+...,STAR K0III,337.84
HIP 40104,122.88527773,-89.00436594,5.6,-20.53,5.42,A7III,STAR A7III,184.50
HIP 104382,317.19172547,-88.9565112,25.96,5.02,12.07,F0III,STAR F0III,82.85
HIP 23845,76.90313924,-88.87031204,6.45,13.23,4.78,A1m...,STAR A1,209.21
HIP 35861,110.89900337,-88.85198288,-18.88,23.1,4.07,B9V,STAR B9V,245.70
HIP 112355,341.37331127,-88.8182074,22.14,-35.7,9.99,A7IV,STAR A7IV,100.10
HIP 92231,281.94714007,-88.77559063,22.55,-29.69,2.69,K1/K2III,STAR K1III,371.75
HIP 30678,96.69688072,-88.74373403,-1.53,15.74,4.28,B8IV,STAR B8IV,233.64
HIP 49368,151.17048401,-88.6738019,-21.66,14.03,3.36,F0IV/V,STAR F0IV,297.62
HIP 76725,235.02212866,-88.65457177,3.15,-24.61,1.8,K5III,STAR K5III,555.56
HIP 92300,282.18883445,-88.64039304,-3.55,-34.16,7.13,F3V,STAR F3V,140.25
HIP 39106,120.00244573,-88.60601643,-15.64,22.14,4.26,K3,STAR K3,234.74
HIP 32897,102.81526124,-88.53533293,-47.92,187.5,15.94,G2V,STAR G2V,62.74
HIP 66780,205.30113384,-88.48366695,5.41,-0.48,1.93,A0III/IV,STAR A0IV,518.13
HIP 38078,117.05068957,-88.45555971,-52.87,29.31,7.13,G2V,STAR G2V,140.25
HIP 104602,317.84743261,-88.45293992,3.61,4.28,3.05,K4III:,STAR K4III,327.87
HIP 60041,184.69478395,-88.41494466,-32.53,9.52,5.16,B9V,STAR B9V,193.80
HIP 29078,92.0128153,-88.37471461,-3.6,6.64,0.92,K1III:,STAR K1III,"1,086.96"
HIP 1007,3.14031225,-88.36287521,13.92,2.64,1.73,B9.5IV,STAR B9IV,578.03
HIP 8469,27.29750272,-88.35744689,18.56,9.27,3.1,B9/B9.5V,STAR B9V,322.58
HIP 54441,167.08632113,-88.35027692,-45.54,2.86,3.99,K1/K2III/IV,STAR K1IV,250.63
HIP 22379,72.26009098,-88.27117985,7.79,10.35,2.77,M2III,STAR M2III,361.01
HIP 10768,34.64451014,-88.14567966,-12.87,-17.88,5.55,G8IV,STAR G8IV,180.18
HIP 75736,232.08618345,-88.13281448,-88.78,-80.65,15.54,Am,STAR A0,64.35
HIP 62662,192.59313824,-88.12099013,-20.02,-18.32,8.73,F6/F7V,STAR F6V,114.55
HIP 57037,175.43679167,-88.06216667,,,,K5V,STAR K5V,#DIV/0!
HIP 32914,102.865625,-87.98325,,,,K3III:,STAR K3III,#DIV/0!
HIP 46043,140.84701457,-87.97397795,-21.91,19.96,2.62,K2,STAR K2,381.68
HIP 114889,349.07099452,-87.96052053,8.31,-4.02,0.57,M2III,STAR M2III,"1,754.39"
HIP 12931,41.58674786,-87.91213367,-0.92,1.68,2.69,A4IVp...,STAR A4IV,371.75
HIP 37199,114.63246458,-87.90611061,0.72,6.4,0.22,K0,STAR K0,"4,545.45"
HIP 5654,18.1616904,-87.86462696,-35.05,-25.76,7.28,G3V:,STAR G3V,137.36
HIP 97658,297.71916657,-87.84523235,-2.68,-34.09,2.94,F5V,STAR F5V,340.14
HIP 99687,303.43283338,-87.82269434,80.18,-121.93,12.24,G0V+...,STAR G0V,81.70
HIP 20325,65.3152272,-87.81311163,62.66,68.84,17.08,F5V,STAR F5V,58.55
HIP 110397,335.43036319,-87.80495774,133.74,-210.25,16.23,G3/G5IV,STAR G3IV,61.61
HIP 77114,236.18726193,-87.77643564,-48.48,-29.67,4.51,G6V,STAR G6V,221.73
HIP 50402,154.37537963,-87.72845521,-4.31,20.82,3.65,K1III,STAR K1III,273.97
HIP 40861,125.07335296,-87.72808059,-2.36,84.4,6.76,F5IV/V,STAR F5IV,147.93
HIP 75386,231.068889,-87.71192473,-39.54,-43.97,7.98,G6III,STAR G6III,125.31
HIP 1649,5.17280122,-87.66706225,128.8,43.67,11.33,G2V,STAR G2V,88.26
HIP 68569,210.57031074,-87.61535847,4.82,-3.44,2.44,K0III,STAR K0III,409.84
HIP 92824,283.69853501,-87.60551487,-36.69,-135.22,13.06,K3III,STAR K3III,76.57
HIP 84461,259.00349797,-87.5658958,-117.8,-156.05,5.32,G5III,STAR G5III,187.97
HIP 64690,198.8728529,-87.56030424,-221.35,-155.49,40.52,G5IV-V,STAR G5IV,24.68
HIP 115193,349.98143176,-87.55629096,30.92,29.71,6.57,F5V,STAR F5V,152.21
HIP 115836,352.01486122,-87.48224182,16.29,11.48,6.24,K2III,STAR K2III,160.26
HIP 100968,307.06872886,-87.47206607,169.74,-57.85,12.81,G3V,STAR G3V,78.06
HIP 903,2.78668359,-87.41423771,26.67,4.96,4.41,F8/G0V,STAR F8V,226.76
HIP 58185,178.99996635,-87.40319896,-6.87,-4.67,0.45,K1/K2III:,STAR K1III,"2,222.22"
HIP 88018,269.67191493,-87.36446589,-0.77,-30.76,5.39,K2/K3III,STAR K2III,185.53
HIP 5953,19.1520414,-87.34044714,7.99,-5.16,1.69,K4/K5III,STAR K4III,591.72
HIP 10809,34.7869698,-87.32151345,16.71,19.29,5.6,A3m...,STAR A3,178.57
HIP 13844,44.55309936,-87.32054873,24.35,-37.67,12.49,F6V,STAR F6V,80.06
HIP 111644,339.2478192,-87.3203913,-1.39,16.75,3.49,K0III,STAR K0III,286.53
HIP 33601,104.71716332,-87.30475791,13.66,-24.52,9.94,F6IV,STAR F6IV,100.60
HIP 83769,256.80656771,-87.2970817,0.12,47.89,7.47,F3/F5V,STAR F3V,133.87
HIP 56557,173.93385708,-87.26940521,-290.1,-24.77,17.09,G5IV/V,STAR G5IV,58.51
HIP 77470,237.27048337,-87.26643504,-0.68,-48.78,16.4,F5V,STAR F5V,60.98
HIP 87780,268.97181036,-87.24026537,6.46,-11.94,2.98,K3/K4III,STAR K3III,335.57
HIP 46512,142.30527985,-87.2369207,-10.38,5.33,1.39,B6III,STAR B6III,719.42
HIP 8550,27.57020475,-87.22843276,-26.9,-23.58,6.94,F5/F6V,STAR F5V,144.09
HIP 64109,197.08586661,-87.21951279,0.46,83.36,27.1,G6IV/V,STAR G6IV,36.90
HIP 15307,49.37385772,-87.21601247,-9.65,-2.09,2.96,A4:m...,STAR A4,337.84
HIP 83217,255.11210519,-87.20273044,-179.88,-156.04,20.11,G8/K0V,STAR G8V,49.73
HIP 106463,323.44377949,-87.18708091,8.67,1.76,2.99,G8/K0III,STAR G8III,334.45
HIP 94254,287.78986912,-87.1866899,8.36,10.31,1.92,M0/M1III:,STAR M1III,520.83
HIP 73883,226.5129939,-87.17411509,10.19,32.3,12.52,F5/F6V,STAR F5V,79.87
HIP 45816,140.12623123,-87.16666721,-9.75,6.79,2.85,A0IV,STAR A0IV,350.88
HIP 82459,252.77350829,-87.13678223,-2.81,-3.69,0.18,M3,STAR M3,"5,555.56"
HIP 113652,345.2757417,-87.05303079,0.83,-6.62,-2.25,Me,STAR M0e,-444.44
HIP 105585,320.78570241,-87.05208763,103.04,-87.76,19.1,G8:III:+...,STAR G8III,52.36
HIP 105569,320.72075456,-87.04833848,130.11,-90.02,3.2,G5,STAR G5,312.50
HIP 32500,101.74383218,-87.02497454,4.64,4.2,25.55,F3V,STAR F3V,39.14
HIP 32760,102.46101193,-86.93250381,2,-33.09,5.37,F2IV/V,STAR F2IV,186.22
HIP 20198,64.93792379,-86.92661327,1.55,9.35,1.82,G8III,STAR G8III,549.45
HIP 48620,148.72165843,-86.91028242,-26.34,10.85,4.44,K3III,STAR K3III,225.23
HIP 27050,86.04293325,-86.90219893,-7.28,4.41,3.98,G8III,STAR G8III,251.26
HIP 52065,159.58511513,-86.89721065,-37.04,35.39,16.91,G5/G6IV,STAR G5IV,59.14
HIP 86410,264.84561595,-86.8851355,-8.76,-9.35,8.63,F5/F6III/IV,STAR F5IV,115.87
HIP 28682,90.83193848,-86.78612066,11.65,8.8,4.74,F3IV/V,STAR F3IV,210.97
HIP 103426,314.31113357,-86.78079801,14.95,-15.03,3.82,B9.5:Vn,STAR B9V,261.78
HIP 36813,113.56630353,-86.77242457,-10.43,5.3,0.73,K0/K1II/III,STAR K1III,"1,369.86"
HIP 59086,181.75233658,-86.76015425,-10.54,1.58,2.51,G8II,STAR G8II,398.41
HIP 66710,205.11107857,-86.72515803,-20.18,-7.47,3.45,G8/K0III,STAR G8III,289.86
HIP 2764,8.81747147,-86.70523233,47.78,8.77,5.16,F2V,STAR F2V,193.80
HIP 13778,44.33217294,-86.70191862,5.79,24.42,7.4,F5IV,STAR F5IV,135.14
HIP 91074,278.65808078,-86.66255283,-2.59,-10.02,5.16,F5V,STAR F5V,193.80
HIP 43636,133.30567207,-86.56230265,15.71,-3.13,3.63,G8/K0III,STAR G8III,275.48
HIP 40514,124.07271791,-86.55740379,-30.23,45.59,10.44,A1IV/V,STAR A1IV,95.79
HIP 50605,155.05767619,-86.55689316,-47.25,28.96,13.45,F5IV,STAR F5IV,74.35
HIP 86836,266.15250714,-86.48624487,3.38,-15.96,-1.18,,UNIDENTIFIED,-847.46
HIP 109686,333.28231115,-86.47928188,3.88,6.8,4.64,A2IV,STAR A2IV,215.52
HIP 73791,226.23202302,-86.47156727,22.62,28.09,4.39,K0III,STAR K0III,227.79
HIP 65758,202.20864631,-86.44950865,-160.74,-56.86,17.94,G5/G6V,STAR G5V,55.74
HIP 13281,42.73046328,-86.41991139,194.07,205.45,6.41,G3/G5IV/V,STAR G3IV,156.01
HIP 116717,354.80363544,-86.39895146,35.04,-33.26,8.76,F0IV,STAR F0IV,114.16
HIP 72636,222.76087078,-86.39474542,-4.62,3.51,1.58,K4III,STAR K4III,632.91
HIP 27734,88.07529352,-86.39350894,-18.81,-1.21,3.19,G8III,STAR G8III,313.48
HIP 25412,81.52576156,-86.3883411,0.03,32.05,3.28,Md,STAR M0,304.88
HIP 40951,125.36438203,-86.37689869,-29.65,71.09,11.82,F5V,STAR F5V,84.60
HIP 113840,345.81687936,-86.3744281,25.74,-22.47,1.43,R...,UNIDENTIFIED,699.30
HIP 51737,158.56688435,-86.37090936,76.51,-18.07,9.8,F5V,STAR F5V,102.04
HIP 83255,255.24350817,-86.36429709,8.21,0,5.45,A2V,STAR A2V,183.49
HIP 86937,266.4657688,-86.29841047,29.19,-15.32,5.68,F0IIw...,STAR F0II,176.06
HIP 34967,108.52729662,-86.25133245,-89.68,57.81,11.86,F8V,STAR F8V,84.32
HIP 18872,60.68396133,-86.24539628,35.27,19.35,6.89,F2/F3III,STAR F2III,145.14
HIP 54474,167.17223125,-86.23094263,-28.12,5.17,3.37,M2III,STAR M2III,296.74
HIP 83987,257.53717943,-86.2042246,-0.3,-15.82,4.68,A5V,STAR A5V,213.68
HIP 92332,282.27736555,-86.19525737,51.15,-60.52,13.36,F5V,STAR F5V,74.85
HIP 19514,62.71031203,-86.1944487,-1.86,-1.52,2.45,F5IV,STAR F5IV,408.16
HIP 703,2.19229374,-86.1885047,4.79,6.34,-2.92,,UNIDENTIFIED,-342.47
HIP 9250,29.72803549,-86.18441423,2.71,31.21,7.09,F3V,STAR F3V,141.04
HIP 101562,308.75728771,-86.16361121,-30.74,60.06,6.91,F6V,STAR F6V,144.72
HIP 78948,241.7534195,-86.16055736,3.84,11.84,7.3,F7V,STAR F7V,136.99
HIP 110867,336.92608349,-86.15565341,167.84,-159.78,16.19,K0III,STAR K0III,61.77
