name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,_class,dist
HIP 1,0.00091185,1.08901332,-5.2,-1.88,3.54,F5,97.18593955,-59.18728716,STAR F5,282.485875706215
HIP 10,0.03625309,-50.8670736,42.23,40.02,10.76,F6V,321.80516631,-64.34021264,STAR F6V,92.9368029739777
HIP 100,0.31645128,19.74131648,-29.13,-30.14,4.49,G0,107.07331835,-41.58027404,STAR G0,222.71714922049
HIP 1000,3.12556151,-22.06708268,215.67,-96.1,15.32,K0V+...,60.59545548,-79.81016552,STAR K0V,65.2741514360313
HIP 10000,32.1941477,60.95494173,-3.18,-9.04,3.86,A5V,132.18221485,-0.52019579,STAR A5V,259.067357512953
HIP 100000,304.31547143,-19.96078578,-22.1,-28.88,3.67,K0III,23.38992815,-27.49371173,STAR K0III,272.479564032698
HIP 100001,304.31957341,-32.84412472,-6.5,-44.09,9.25,G5V,9.27483019,-31.39008665,STAR G5V,108.108108108108
HIP 100002,304.32156443,1.31504478,28.2,-5.64,8.12,F2,44.309101,-18.36583308,STAR F2,123.152709359606
HIP 100003,304.32659056,-71.06714179,7.73,-10.42,4.03,K1III,323.90551922,-32.47920481,STAR K1III,248.138957816377
HIP 100004,304.3273721,-62.95990553,9.21,-16.9,1.66,K2III,333.48087528,-33.65668576,STAR K2III,602.409638554217
HIP 100005,304.32919754,-36.62928696,-12.19,-28.61,6.02,A0IV/V,4.93381438,-32.2401855,STAR A0IV,166.112956810631
HIP 100006,304.3345,-36.63372222,,,,,4.92969981,-32.24525177,UNIDENTIFIED,#DIV/0!
HIP 100007,304.33584156,62.13816918,-12.86,4.2,3.89,K0,96.23589299,14.52760671,STAR K0,257.06940874036
HIP 100008,304.34037689,-54.34681438,10.7,-67.14,3.73,F2III/IV,343.84602238,-34.08880957,STAR F2IV,268.096514745308
HIP 100009,304.34485015,38.23568691,-2.44,-5.63,0.61,B1.5Ib,75.94983656,1.49942836,STAR B1I,1639.34426229508
HIP 10001,32.19730766,-61.43670314,39.19,13.72,3.38,K0III,287.56114093,-53.32226985,STAR K0III,295.85798816568
HIP 100010,304.34488284,12.21798332,4.06,-11.55,3.67,B9,54.06786555,-12.83162894,STAR B9,272.479564032698
HIP 100011,304.34851551,14.82404267,-0.3,4.67,1.01,M0,56.32797682,-11.44971329,STAR M0,990.09900990099
HIP 100012,304.35322984,-2.06318883,16.69,-10.92,4.87,G5,41.18798393,-20.01683002,STAR G5,205.338809034908
HIP 100013,304.35489078,39.59353909,3.95,-0.01,3.51,Ape...,77.07989415,2.25320614,STAR A0,284.900284900285
HIP 100014,304.36164936,-15.82763144,14.2,-50.96,7.49,A5III,27.70157524,-25.98986576,STAR A5III,133.51134846462
HIP 100015,304.37064529,-13.96070424,16.05,5.56,1.57,A2m...,29.60699667,-25.25909787,STAR A2,636.942675159236
HIP 100016,304.37106233,42.72206321,2.72,-1.33,1.73,K4II:,79.68516381,3.99132126,STAR K4II,578.034682080925
HIP 100017,304.37763542,66.85296587,468.52,296.81,56.92,G3V,100.46000246,16.91508641,STAR G3V,17.5685172171469
HIP 100018,304.38140202,29.14750941,-9.15,22.1,8.88,G9III,68.43390374,-3.6155979,STAR G9III,112.612612612613
HIP 100019,304.3815557,44.89519454,-26.36,-77.64,7.7,F5,81.50035223,5.19502484,STAR F5,129.87012987013
HIP 10002,32.20171484,-24.02874347,40.9,24.25,8.11,F3V,207.16268454,-72.29911223,STAR F3V,123.304562268804
HIP 100020,304.39597738,28.11164244,1.91,-2.79,2.99,B9,67.57945714,-4.20424566,STAR B9,334.448160535117
HIP 100021,304.39865969,28.51753196,-3.56,4.78,3.27,A5,67.91851153,-3.97979183,STAR A5,305.810397553517
HIP 100022,304.39863513,51.15232501,102.67,22.66,11.18,K2,86.76485999,8.63704268,STAR K2,89.4454382826476
HIP 100023,304.40046907,-50.55882835,-1.7,-12.32,0.27,K2III,348.41875252,-34.03787097,STAR K2III,3703.7037037037
HIP 100024,304.40042273,-29.39405645,-5.41,-5.11,0.48,M3III,13.18305217,-30.56456832,STAR M3III,2083.33333333333
HIP 100025,304.40461001,-6.40417103,17.89,7.48,2.72,G5,37.08624495,-22.06482322,STAR G5,367.647058823529
HIP 100026,304.41104791,23.16720089,32.94,22.85,3.45,F5,63.45402724,-6.9597772,STAR F5,289.855072463768
HIP 100027,304.41190045,-12.50821403,22.24,0.75,4.75,G3Ib,31.08860744,-24.70434928,STAR G3I,210.526315789474
HIP 100028,304.41194948,60.30652089,11.59,-10.74,1.76,K5,94.64418163,13.54180221,STAR K5,568.181818181818
