name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,dist
HIP 78866,241.48101072,-89.30844881,  -23.75,  -40.83,  11.95,F2/F3V,303.51260766,-26.66992239,83.6820083682008
HIP 104382,317.19172547,-88.9565112,   25.96,    5.02,  12.07,F0III,303.9052626,-27.71340969,82.8500414250207
HIP 32897,102.81526124,-88.53533293,  -47.92,  187.50,  15.94,G2V,301.28628069,-27.11979079,62.7352572145546
HIP 75736,232.08618345,-88.13281448,  -88.78,  -80.65,  15.54,Am,304.24195492,-25.67578218,64.3500643500644
HIP 99687,303.43283338,-87.82269434,   80.18, -121.93,  12.24,G0V+...,305.23798605,-27.87450361,81.6993464052288
HIP 20325,65.3152272,-87.81311163,   62.66,   68.84,  17.08,F5V,300.95995008,-28.44707301,58.5480093676815
HIP 110397,335.43036319,-87.80495774,  133.74, -210.25,  16.23,G3/G5IV,304.45506228,-28.8631015,61.6142945163278
HIP 1649,5.17280122,-87.66706225,  128.80,   43.67,  11.33,G2V,303.29013318,-29.43976951,88.261253309797
HIP 92824,283.69853501,-87.60551487,  -36.69, -135.22,  13.06,K3III,305.62253088,-27.13767417,76.5696784073507
HIP 64690,198.8728529,-87.56030424, -221.35, -155.49,  40.52,G5IV-V,303.21316073,-24.70170184,24.6791707798618
HIP 100968,307.06872886,-87.47206607,  169.74,  -57.85,  12.81,G3V,305.54666439,-28.14061274,78.064012490242
HIP 13844,44.55309936,-87.32054873,   24.35,  -37.67,  12.49,F6V,301.31649495,-29.39883204,80.0640512409928
HIP 56557,173.93385708,-87.26940521, -290.10,  -24.77,  17.09,G5IV/V,301.95863988,-24.54194201,58.5137507314219
HIP 77470,237.27048337,-87.26643504,   -0.68,  -48.78,  16.40,F5V,305.04505994,-25.15983357,60.9756097560976
HIP 64109,197.08586661,-87.21951279,    0.46,   83.36,  27.10,G6IV/V,303.15676276,-24.35514762,36.90036900369
HIP 83217,255.11210519,-87.20273044, -179.88, -156.04,  20.11,G8/K0V,305.68156578,-25.79923232,49.7265042267529
HIP 73883,226.5129939,-87.17411509,   10.19,   32.30,  12.52,F5/F6V,304.65611266,-24.76551646,79.8722044728435
HIP 105585,320.78570241,-87.05208763,  103.04,  -87.76,  19.10,G8:III:+...,305.58818455,-28.91509305,52.3560209424084
HIP 32500,101.74383218,-87.02497454,    4.64,    4.20,  25.55,F3V,299.58883878,-27.14658836,39.1389432485323
HIP 52065,159.58511513,-86.89721065,  -37.04,   35.39,  16.91,G5/G6IV,301.06139004,-24.52185826,59.1366055588409
HIP 40514,124.07271791,-86.55740379,  -30.23,   45.59,  10.44,A1IV/V,299.36597074,-25.83769613,95.7854406130268
HIP 50605,155.05767619,-86.55689316,  -47.25,   28.96,  13.45,F5IV,300.61551642,-24.38887983,74.3494423791822
HIP 65758,202.20864631,-86.44950865, -160.74,  -56.86,  17.94,G5/G6V,303.56106355,-23.62353571,55.7413600891862
HIP 40951,125.36438203,-86.37689869,  -29.65,   71.09,  11.82,F5V,299.21736152,-25.69277878,84.6023688663282
HIP 34967,108.52729662,-86.25133245,  -89.68,   57.81,  11.86,F8V,298.75575762,-26.69631653,84.3170320404722
HIP 92332,282.27736555,-86.19525737,   51.15,  -60.52,  13.36,F5V,307.20362722,-27.02497253,74.8502994011976
HIP 110867,336.92608349,-86.15565341,  167.84, -159.78,  16.19,K0III,305.54162612,-30.2167636,61.7665225447807
HIP 46892,143.32536808,-86.01002222,  -51.52,  -19.22,  10.70,F3/F5IV+...,299.59683326,-24.49968175,93.4579439252336
HIP 46870,143.26397746,-86.0095987,  -48.86,  -20.46,  11.06,F2,299.59335221,-24.50257915,90.4159132007233
HIP 3470,11.08845455,-85.89152517,   91.56,   -4.20,  15.37,F8/G0V,303.08028959,-31.23468508,65.0618087182824
HIP 107949,328.04645652,-85.83656586,  -16.72,    1.69,  10.51,F7V,306.32062873,-30.0409462,95.1474785918173
HIP 66753,205.23406365,-85.78599228,  -87.65,  -21.03,  12.71,A2m...,303.9122055,-23.0087878,78.6782061369001
HIP 91434,279.70799692,-85.70884796,  147.50,  -42.38,  15.89,G0V,307.73378499,-26.81071841,62.9326620516048
HIP 75015,229.93314426,-85.67958187,  -58.30,    2.27,  13.20,F8/G0V,305.77378076,-23.65286156,75.7575757575758
HIP 43908,134.1745136,-85.66323432, -116.27,   33.74,  20.73,F0III,298.8504562,-24.81562937,48.2392667631452
HIP 60926,187.30282883,-85.57924918,   23.38,   30.35,  11.73,F6V,302.46827655,-22.72752353,85.2514919011083
HIP 56706,174.39630992,-85.48649606,   29.76,    9.15,  11.36,F2III/IV,301.38233223,-22.8386841,88.0281690140845
HIP 3053,9.69033976,-85.41237038,  -86.37,  -28.79,  26.42,G8V,303.22972213,-31.70854876,37.8501135503407
HIP 22504,72.63706679,-85.37507484,   48.40,  -38.00,  23.20,G3V,298.3457959,-29.3814091,43.1034482758621
HIP 88274,270.39253838,-85.21447624,   -4.48, -144.72,  14.91,F4V,308.13183378,-25.99965881,67.0690811535882
HIP 81063,248.35765065,-85.18153504,  -66.08, -274.04,  12.09,,307.28903578,-24.33222258,82.7129859387924
HIP 96614,294.63920042,-85.00459438,   92.80,  -29.93,  10.72,G1V,308.47404226,-28.03901553,93.2835820895522
HIP 55746,171.32525747,-84.95456894,  -47.95,   12.13,  12.07,F5V,300.93069377,-22.42103847,82.8500414250207
HIP 74296,227.78664063,-84.78782184,    3.22,    4.03,  10.24,B9.5V,306.16669688,-22.81834706,97.65625
HIP 105274,319.85350136,-84.75622445,   91.81,  -68.75,  15.20,F6/F7V,307.77683331,-30.19998594,65.7894736842105
HIP 95781,292.22442333,-84.71995362,   68.97,  -80.35,  13.00,G5IV,308.82688034,-27.8640974,76.9230769230769
HIP 83751,256.76074535,-84.66532909,   51.66,  -22.13,  15.32,G0V,308.20423563,-24.6836403,65.2741514360313
HIP 76178,233.39521625,-84.60870657, -108.85, -149.00,  12.09,G0V,306.73506283,-22.98031772,82.7129859387924
HIP 14759,47.65328768,-84.54367107,  592.38,  209.06,  15.27,K5,299.28094346,-31.5615206,65.4878847413229
HIP 76996,235.81708657,-84.46550807,  137.01,   96.74,  15.02,A2V,307.02684441,-23.01917697,66.577896138482
HIP 80382,246.11715033,-84.45547209,   28.97,  -78.28,  10.45,G2V,307.78346164,-23.72890765,95.6937799043062
HIP 102205,310.63978636,-84.40704999,   60.30,  -25.44,  11.89,A1m...,308.6243741,-29.61967399,84.1042893187553
HIP 93276,284.99965571,-84.40151255,    3.89,  -56.59,  11.96,F8/G0V,309.2245588,-27.19698615,83.6120401337793
HIP 95930,292.63953207,-84.38386088,   37.83,  -53.78,  10.09,F5V,309.19929157,-27.94280197,99.1080277502478
HIP 59928,184.39082643,-84.29058037,  -94.78,    5.30,  10.47,F5V,302.02981234,-21.47825929,95.5109837631328
HIP 12921,41.55212817,-84.28301179,  -71.78,   47.21,  15.84,G8V,299.69522861,-32.10587719,63.1313131313131
HIP 112859,342.83172658,-84.26374148,  168.93,  -76.31,  15.86,M...,306.3150902,-32.05378831,63.0517023959647
HIP 79242,242.57076306,-84.23153598, -337.59,  -31.15,  27.88,K0V,307.72091792,-23.31786575,35.8680057388809
HIP 107239,325.81276084,-84.14330128,  -19.96, -118.48,  16.56,G3V,307.93198434,-31.02989216,60.3864734299517
