name,pm_ra,pm_dec,parallax,spect_type,lii,bii,vmag,bv_color,vi_color,vi_color_reduct,_class,dist
HIP 78866,  -23.75,  -40.83,  11.95,F2/F3V,303.51260766,-26.66992239, 7.83, 0.412,0.48,0.48,STAR F2V,83.6820083682008
HIP 104382,   25.96,    5.02,  12.07,F0III,303.9052626,-27.71340969, 5.45, 0.283,0.32,0.32,STAR F0III,82.8500414250207
HIP 32897,  -47.92,  187.50,  15.94,G2V,301.28628069,-27.11979079, 8.69, 0.608,0.68,0.68,STAR G2V,62.7352572145546
HIP 75736,  -88.78,  -80.65,  15.54,Am,304.24195492,-25.67578218, 6.49, 0.303,0.35,0.32,STAR A0,64.3500643500644
HIP 99687,   80.18, -121.93,  12.24,G0V+...,305.23798605,-27.87450361, 8.44, 0.564,0.64,0.64,STAR G0V,81.6993464052288
HIP 20325,   62.66,   68.84,  17.08,F5V,300.95995008,-28.44707301, 7.50, 0.473,0.54,0.54,STAR F5V,58.5480093676815
HIP 110397,  133.74, -210.25,  16.23,G3/G5IV,304.45506228,-28.8631015, 9.26, 0.684,0.74,0.74,STAR G3IV,61.6142945163278
HIP 1649,  128.80,   43.67,  11.33,G2V,303.29013318,-29.43976951, 8.73, 0.627,0.69,0.69,STAR G2V,88.261253309797
HIP 92824,  -36.69, -135.22,  13.06,K3III,305.62253088,-27.13767417, 5.29, 1.304,1.26,1.25,STAR K3III,76.5696784073507
HIP 64690, -221.35, -155.49,  40.52,G5IV-V,303.21316073,-24.70170184, 7.11, 0.710,0.76,0.71,STAR G5IV,24.6791707798618
HIP 100968,  169.74,  -57.85,  12.81,G3V,305.54666439,-28.14061274, 8.10, 0.689,0.75,0.75,STAR G3V,78.064012490242
HIP 13844,   24.35,  -37.67,  12.49,F6V,301.31649495,-29.39883204, 8.28, 0.502,0.57,0.55,STAR F6V,80.0640512409928
HIP 56557, -290.10,  -24.77,  17.09,G5IV/V,301.95863988,-24.54194201, 8.93, 0.706,0.76,0.76,STAR G5IV,58.5137507314219
HIP 77470,   -0.68,  -48.78,  16.40,F5V,305.04505994,-25.15983357, 7.81, 0.483,0.55,0.55,STAR F5V,60.9756097560976
HIP 64109,    0.46,   83.36,  27.10,G6IV/V,303.15676276,-24.35514762, 8.20, 0.721,0.77,0.78,STAR G6IV,36.90036900369
HIP 83217, -179.88, -156.04,  20.11,G8/K0V,305.68156578,-25.79923232, 9.41, 0.798,0.84,0.83,STAR G8V,49.7265042267529
HIP 73883,   10.19,   32.30,  12.52,F5/F6V,304.65611266,-24.76551646, 8.27, 0.477,0.55,0.57,STAR F5V,79.8722044728435
HIP 105585,  103.04,  -87.76,  19.10,G8:III:+...,305.58818455,-28.91509305, 8.80, 0.758,0.8,0.78,STAR G8III,52.3560209424084
HIP 32500,    4.64,    4.20,  25.55,F3V,299.58883878,-27.14658836, 6.46, 0.429,0.5,0.48,STAR F3V,39.1389432485323
HIP 52065,  -37.04,   35.39,  16.91,G5/G6IV,301.06139004,-24.52185826, 7.51, 0.770,0.81,0.81,STAR G5IV,59.1366055588409
HIP 40514,  -30.23,   45.59,  10.44,A1IV/V,299.36597074,-25.83769613, 6.76, 0.064,0.07,0.05,STAR A1IV,95.7854406130268
HIP 50605,  -47.25,   28.96,  13.45,F5IV,300.61551642,-24.38887983, 7.80, 0.441,0.51,0.51,STAR F5IV,74.3494423791822
HIP 65758, -160.74,  -56.86,  17.94,G5/G6V,303.56106355,-23.62353571, 9.19, 0.750,0.79,0.83,STAR G5V,55.7413600891862
HIP 40951,  -29.65,   71.09,  11.82,F5V,299.21736152,-25.69277878, 8.47, 0.442,0.51,0.53,STAR F5V,84.6023688663282
HIP 34967,  -89.68,   57.81,  11.86,F8V,298.75575762,-26.69631653, 8.60, 0.563,0.64,0.64,STAR F8V,84.3170320404722
HIP 92332,   51.15,  -60.52,  13.36,F5V,307.20362722,-27.02497253, 7.98, 0.521,0.59,0.59,STAR F5V,74.8502994011976
HIP 110867,  167.84, -159.78,  16.19,K0III,305.54162612,-30.2167636, 8.10, 0.913,0.96,0.96,STAR K0III,61.7665225447807
HIP 46892,  -51.52,  -19.22,  10.70,F3/F5IV+...,299.59683326,-24.49968175, 7.08, 0.431,0.5,0.51,STAR F3IV,93.4579439252336
HIP 46870,  -48.86,  -20.46,  11.06,F2,299.59335221,-24.50257915, 7.60, 0.537,0.61,0.59,STAR F2,90.4159132007233
HIP 3470,   91.56,   -4.20,  15.37,F8/G0V,303.08028959,-31.23468508, 8.28, 0.571,0.64,0.64,STAR F8V,65.0618087182824
HIP 107949,  -16.72,    1.69,  10.51,F7V,306.32062873,-30.0409462, 7.70, 0.509,0.58,0.47,STAR F7V,95.1474785918173
HIP 66753,  -87.65,  -21.03,  12.71,A2m...,303.9122055,-23.0087878, 5.56, 0.183,0.2,0.18,STAR A2,78.6782061369001
HIP 91434,  147.50,  -42.38,  15.89,G0V,307.73378499,-26.81071841, 8.11, 0.580,0.65,0.65,STAR G0V,62.9326620516048
HIP 75015,  -58.30,    2.27,  13.20,F8/G0V,305.77378076,-23.65286156, 8.58, 0.549,0.62,0.65,STAR F8V,75.7575757575758
HIP 43908, -116.27,   33.74,  20.73,F0III,298.8504562,-24.81562937, 5.43, 0.306,0.35,0.35,STAR F0III,48.2392667631452
HIP 60926,   23.38,   30.35,  11.73,F6V,302.46827655,-22.72752353, 8.12, 0.521,0.59,0.59,STAR F6V,85.2514919011083
HIP 56706,   29.76,    9.15,  11.36,F2III/IV,301.38233223,-22.8386841, 7.47, 0.409,0.48,0.48,STAR F2IV,88.0281690140845
HIP 3053,  -86.37,  -28.79,  26.42,G8V,303.22972213,-31.70854876, 7.74, 0.754,0.8,0.8,STAR G8V,37.8501135503407
HIP 22504,   48.40,  -38.00,  23.20,G3V,298.3457959,-29.3814091, 8.14, 0.614,0.68,0.68,STAR G3V,43.1034482758621
HIP 88274,   -4.48, -144.72,  14.91,F4V,308.13183378,-25.99965881, 6.45, 0.437,0.51,0.51,STAR F4V,67.0690811535882
HIP 81063,  -66.08, -274.04,  12.09,,307.28903578,-24.33222258,10.07, 0.601,0.67,0.6,UNIDENTIFIED,82.7129859387924
HIP 96614,   92.80,  -29.93,  10.72,G1V,308.47404226,-28.03901553, 8.27, 0.608,0.68,0.65,STAR G1V,93.2835820895522
HIP 55746,  -47.95,   12.13,  12.07,F5V,300.93069377,-22.42103847, 7.64, 0.475,0.55,0.55,STAR F5V,82.8500414250207
HIP 74296,    3.22,    4.03,  10.24,B9.5V,306.16669688,-22.81834706, 5.88,-0.031,-0.01,0,STAR B9V,97.65625
HIP 105274,   91.81,  -68.75,  15.20,F6/F7V,307.77683331,-30.19998594, 7.76, 0.501,0.57,0.57,STAR F6V,65.7894736842105
HIP 95781,   68.97,  -80.35,  13.00,G5IV,308.82688034,-27.8640974, 7.70, 0.744,0.79,0.76,STAR G5IV,76.9230769230769
HIP 83751,   51.66,  -22.13,  15.32,G0V,308.20423563,-24.6836403, 8.67, 0.594,0.66,0.68,STAR G0V,65.2741514360313
HIP 76178, -108.85, -149.00,  12.09,G0V,306.73506283,-22.98031772, 9.02, 0.548,0.62,0.62,STAR G0V,82.7129859387924
HIP 14759,  592.38,  209.06,  15.27,K5,299.28094346,-31.5615206,10.25, 0.840,0.88,0.86,STAR K5,65.4878847413229
